family_id,role,label,era,default_lane,default_scope,observed_template_count,historical_tg_count,has_historical_result_pair,triage,decision,shelf,paired_result_family,review_note,observed_template_ids
OPS_GATE_BLOCK_LOG,OPS,Internal gate block / momentum log line,internal,,MUSEUM_OR_OPS_ONLY,122,8626,False,"{""KEEP"": 122}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__04c59acdf764;UNKNOWN__3c9235e81805;UNKNOWN__f0e66d96cd55;UNKNOWN__3d5ef291f31a;UNKNOWN__13ed1e150779;UNKNOWN__6818a20d9dc4;RESULT__6818a20d9dc4;UNKNOWN__f2416a6f8350;RESULT__2c8c466c7bee;UNKNOWN__e8186ed5d099;UNKNOWN__81e73626f515;UNKNOWN__8858be419218;UNKNOWN__02294fa741e4;RESULT__5f5dbce08f71;UNKNOWN__ed58d37c324d;UNKNOWN__3b859ed5f2b7;UNKNOWN__55de66b9fd2a;UNKNOWN__12eeddf4f06b;OPS__46e2bd205367;RESULT__5fb73737f7f7;UNKNOWN__c9fd18f6e662;RESULT__1da9624d1067;UNKNOWN__613d6c0d508e;UNKNOWN__5291f0f25c71;UNKNOWN__82f9cd163073;RESULT__4daa771989c0;RESULT__82f9cd163073;RESULT__c9fd18f6e662;RESULT__613d6c0d508e;RESULT__d6a6b5a3d245;RESULT__a9e5fe98f926;RESULT__5df7c8ef929d;RESULT__6db256e3b8d3;RESULT__b020de86a109;UNKNOWN__d21c0a73e583;UNKNOWN__1adbeba1a2f8;RESULT__5cfbc9d6d8a1;UNKNOWN__0fc4b0601194;UNKNOWN__26c33a9a915d;RESULT__81ed2298ccbc;UNKNOWN__8d7d9fcdebfe;UNKNOWN__5df7c8ef929d;UNKNOWN__1da9624d1067;UNKNOWN__950fbc400483;UNKNOWN__5fb73737f7f7;UNKNOWN__5cfbc9d6d8a1;UNKNOWN__5f5dbce08f71;UNKNOWN__4be0a7c18d12;UNKNOWN__e2f43f208dce;UNKNOWN__bebd455315ad;UNKNOWN__adbd37fa0c4f;UNKNOWN__cf50b1b0cda6;RESULT__975ed8c8285f;UNKNOWN__f5897b117a75;UNKNOWN__4651cac4c0ba;UNKNOWN__4daa771989c0;OPS__4baf9aa824f1;RESULT__4651cac4c0ba;UNKNOWN__2680668b40df;UNKNOWN__6a22f4ba2e3d;UNKNOWN__9e1d3502d913;UNKNOWN__855a21a10e42;UNKNOWN__dfcc60354b33;UNKNOWN__ac0abab6144c;UNKNOWN__2aaf805cbcf0;RESULT__19662f3d2f63;RESULT__0fdb5551eceb;UNKNOWN__08d07af60d72;RESULT__a67671ad278d;UNKNOWN__b65291338174;UNKNOWN__e8e890ca9e6f;UNKNOWN__cb99e6d6d00d;UNKNOWN__f782b5210c1c;UNKNOWN__34b25c4e42b2;UNKNOWN__1a35aa3285df;RESULT__6cc185758460;UNKNOWN__183cb050b969;UNKNOWN__4a2ecf3a8ddc;UNKNOWN__6cc185758460;UNKNOWN__e2dd36f8f96d;UNKNOWN__9ac1ef894c62;UNKNOWN__ce19b6f370ca;UNKNOWN__7c312c92a9ba;RESULT__f10239df3953;UNKNOWN__a1fa91a37413;UNKNOWN__d8ea6113b380;UNKNOWN__a8995f81c4c3;UNKNOWN__26d1c81c8ee3;UNKNOWN__4485d48d7ea1;UNKNOWN__67bfa2a71e65;UNKNOWN__d3d84fac0c59;UNKNOWN__a74f5bf486af;RESULT__3ddb1544f396;UNKNOWN__8c6a1c44006b;RESULT__0578b147c7aa;UNKNOWN__e4f6b6b00f5e;RESULT__67840abaa584;UNKNOWN__4fb492b1c64a;UNKNOWN__8859bf203b32;UNKNOWN__d6f39dfd52d2;RESULT__074282941589;RESULT__029e6ca9b92f;UNKNOWN__915e3e2c0881;UNKNOWN__db775a32a63f;RESULT__e450e2316cde;RESULT__e458b96572ef;UNKNOWN__0c43cfe8d005;UNKNOWN__b05c9f54e2a2;UNKNOWN__9766b2d4b707;UNKNOWN__3d107a7c0de3;UNKNOWN__621f6cf15b24;UNKNOWN__52db0ce4f15b;UNKNOWN__503e8fbe79b2;UNKNOWN__ab31f6241e66;UNKNOWN__5d73bfb73050;RESULT__66f2f7e9cac4;UNKNOWN__5f38710aceb9;UNKNOWN__47eeab12b6c6;UNKNOWN__d6a6b5a3d245;UNKNOWN__969d6ada20ae;UNKNOWN__6b226307fe51;RESULT__4a2ecf3a8ddc
OPS_GATE_ALLOW_LOG,OPS,Internal gate allow / bypass log line,internal,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_GATE_ALLOW_LOG
OPS_KIND_DOWNGRADE_LOG,OPS,Internal tier downgrade log,internal,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_KIND_DOWNGRADE_LOG
CODE_FRAGMENT,UNKNOWN,Source-code literal (not a card),internal,,MUSEUM_OR_OPS_ONLY,0,0,False,{},NOT_A_MONEY_FAMILY,,,,
OPS_G2_ATINGIDO_PARE,OPS,OPS G2 atingido — pare / signal closed,ops_result,,MUSEUM_OR_OPS_ONLY,1,560,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__1842c2873275
FIRE_APOSTAR_EMPATE,FIRE,FIRE bet the tie (next rounds),code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_APOSTAR_EMPATE
FIRE_NAMED_EDGE_BANNER,FIRE,FIRE named formation / zone edge banner,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_NAMED_EDGE_BANNER
OPS_NEGATIVE_WINDOW_BLOCK,OPS,OPS named bad day/hour block banner,code,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_NEGATIVE_WINDOW_BLOCK
OPS_TIER_LEGEND,OPS,OPS tier legend / glossary line,0,,MUSEUM_OR_OPS_ONLY,8,65,False,"{""KEEP"": 8}",NOT_A_MONEY_FAMILY,,,,RESULT__f63e9ccad8a8;RESULT__36006099c2cd;RESULT__6dc2c2fc4548;UNKNOWN__6dc2c2fc4548;UNKNOWN__43bae1f2f374;UNKNOWN__cb7ebb61636e;RESULT__14fe1175f9f2;RESULT__f12d09e3c63e
FIRE_G2_RESERVE,FIRE,FIRE G2 RESERVE — always red loop,g2reserve,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_G2_RESERVE
RESULT_G2_RESERVE_WIN,RESULT,RESULT G2 RESERVE recovery win,g2reserve,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_G2_RESERVE_WIN
OPS_G2_RESERVE_MISS,OPS,OPS G2 RESERVE miss — chain closed,g2reserve,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_G2_RESERVE_MISS
OPS_TIE_AUDIT,OPS,OPS tie audit report (empates),audit,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_TIE_AUDIT
OPS_COMMAND_HELP,OPS,OPS command help / keyword glossary,help,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_COMMAND_HELP
OPS_STAT_LINE,OPS,OPS combined WR stat line,audit,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_STAT_LINE
OPS_RADAR_PARTIAL_CONSENSUS,OPS,OPS radar — partial consensus,radar,,MUSEUM_OR_OPS_ONLY,1,552,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__dd268d3811f0
OPS_OPEN_PLATFORM_NOW,OPS,OPS open the platform — signal in seconds,prealert,,MUSEUM_OR_OPS_ONLY,1,24,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__46018b1cdc49
FIRE_FLASH_CONFIRMADO,FIRE,FIRE flash confirmed,flash,COUNTDOWN,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_FLASH_CONFIRMADO
RESULT_AUTO_WIN,RESULT,RESULT auto-detected WIN,auto,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_AUTO_WIN
RESULT_AUTO_LOSS,RESULT,RESULT auto-detected LOSS,auto,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_AUTO_LOSS
OPS_AUTO_EXPIRED,OPS,OPS signal auto-expired by kind,auto,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_AUTO_EXPIRED
RESULT_FINAL_LOSS_AFTER_G3,RESULT,RESULT final loss after G3,g3,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_FINAL_LOSS_AFTER_G3
OPS_DELIVERY_WINDOW_LOG,OPS,OPS delivery-audit window line,internal,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_DELIVERY_WINDOW_LOG
CARD_BODY_LINE,UNKNOWN,Card body fragment (not a header),internal,,MUSEUM_OR_OPS_ONLY,0,0,False,{},NOT_A_MONEY_FAMILY,,,,
